IID,FID,LONG,LAT,BIO_4_7,BIO_10_5,BIO_11_6,BIO_12_13_16,BIO_14_17,Soil_Nitrogen_SOC,BIO1,BIO2,BIO3,BIO8,BIO9,BIO15,BIO18,BIO19,clay_mean,bdod_mean,wv0033_mean,phh2o_mean
88,88,0.683333,47.4,-0.8340629060095497,0.2583681478880173,1.0123378095866264,-0.5499793019752212,0.21235771840472836,-0.4706310700503338,0.7972618785342673,-0.08780753580732562,1.1423423036512765,-1.0451317958185982,1.30800478358444,-1.0533934961163443,-0.6451788087562997,0.14483563202532498,0.26470743031802607,-0.21536578862306519,-0.2530113714747849,0.6659830946907137
108,108,-4.06667,48.5167,-1.775088018758407,-0.7885084950596006,1.2868766266407818,1.4995129438439105,0.8654858034909766,0.05966343356052062,0.5883362344657009,-1.439190338343733,1.1163402835411294,-0.7677758825473598,0.9965671180357912,0.18881331998376663,0.14366611525249595,2.2007177686970496,0.0011672782988973777,-0.2858456268006672,1.4674117765298775,-0.4308189437746913
139,139,-4.06667,48.5167,-1.775088018758407,-0.7885084950596006,1.2868766266407818,1.4995129438439105,0.8654858034909766,0.05966343356052062,0.5883362344657009,-1.439190338343733,1.1163402835411294,-0.7677758825473598,0.9965671180357912,0.18881331998376663,0.14366611525249595,2.2007177686970496,0.0011672782988973777,-0.2858456268006672,1.4674117765298775,-0.4308189437746913
159,159,3.93333,47.35,-0.6917050717783579,-0.4408868153832784,0.40408139814039623,0.0452110386811416,1.4193792415178637,-0.0682874528661772,0.07975105876948797,-0.7190762753126547,0.04144605979395451,-1.5632692328949547,-0.15539896784896517,-1.3589266818045984,0.4110711742385284,0.5155684763431769,0.33059246832280825,-0.0039262740902590645,-1.7361347749270801,-0.4308189437746913
265,265,-1.16667,44.65,-1.085006415527267,0.23041005029108397,1.2377127954857514,0.8587242159131012,0.6030559688455102,-0.3886878801384649,1.1219925103722908,0.3236859740128183,2.0230380885457806,-0.6885313202236883,1.3062353213708093,-0.147887314154935,0.06344459755668623,1.3132058080573432,0.8840267875629785,0.8418317840409655,-1.0538980093390242,-0.30895205061186853
350,350,4.11667,46.6667,-0.4644054327977869,0.1898414066833264,0.5785651928476019,-0.16396932658072172,0.6655432586085449,-0.5296688818463569,0.47969470471178244,0.10858718314988886,0.6811557968873808,0.8994073059037468,0.007398085381810929,-0.9730278718935547,0.4645521860357349,-0.012444968594369792,0.5677786051400241,0.9827914603961696,-1.795459711065172,0.1785155220394226
351,351,4.11667,46.6667,-0.4644054327977869,0.1898414066833264,0.5785651928476019,-0.16396932658072172,0.6655432586085449,-0.5296688818463569,0.47969470471178244,0.10858718314988886,0.6811557968873808,0.8994073059037468,0.007398085381810929,-0.9730278718935547,0.4645521860357349,-0.012444968594369792,0.5677786051400241,0.9827914603961696,-1.795459711065172,0.1785155220394226
403,403,16.2667,49.3667,0.013763677771904237,-0.3788656649236706,-0.25696734341228467,-0.46393643363600684,-0.7903015075348481,-0.4798195213249393,-0.35600844461620124,-0.32161039857597207,-0.37859865606197746,0.9298862228609022,-0.6986455562456039,1.093820202178041,0.4779224389850365,-1.0909405157008483,0.44918553673141615,-0.3563254649782693,-1.3801851580985292,-1.162020302751628
410,410,16.3497,49.4211,-0.042643189219588276,-0.39662084693145255,-0.21065524492987156,-0.5199197362837278,-0.8406554564463833,-0.42029121839427375,-0.31661111603921027,-0.4385123910880643,-0.4202962177734423,0.6677696949194257,-0.6791807021488133,1.1107924198815788,0.4110711742385284,-1.1246435015479257,0.14611436190941815,0.13703340226494504,-0.9055856689937948,-0.4308189437746913
424,424,16.2815,49.4112,-0.040924705802064185,-0.5355230712950685,-0.30242256448688476,-0.36340098520765635,-0.6697466802999055,-0.6329811561860762,-0.47300696001910225,-0.415131880360092,-0.4118350657811146,0.838450203477592,-0.7322666888121689,0.9940211892297531,0.5848844625794495,-1.0123002153910008,-0.35461192692692634,0.06655356408734298,-0.5496360521652439,-0.06521826428622296
428,428,16.232,49.403,-0.025199985741093847,-0.5306220903045644,-0.31623988570211703,-0.37410102999293343,-0.6697466802999055,-0.7879738753021808,-0.4873333603018324,-0.34966678699843157,-0.3710209962508256,0.8293066015392608,-0.7393448211458776,0.9795204464938427,0.5848844625794495,-1.0123002153910008,-0.28872688892214415,0.34847291679775116,-0.9352481370628407,0.4222493083650682
430,430,15.5,47.0,0.31837754647140226,0.08885654049934243,-0.28087975110040003,0.9208447942579289,-0.5514017292105264,-0.628435855690691,-0.0014314559265878298,0.42188389461919357,-0.025413088129679563,1.2163856283472478,-0.7818136055926511,1.3568195097523428,2.3096470930393584,-0.8774882720026911,-0.1833108281144927,0.34847291679775116,-0.07503656306050949,-0.06521826428622296
